Input,Predicted,Actual
Pretend there is a Island.,<unk> <unk> <unk> <unk> है .,एक द्वीप भी है नाटक.
Just let it all out.,<unk> चलो वापस चलो . .,सब बाहर निकाल दो।
Normal's always gonna be relative.,<unk> <unk> <unk> <unk> है . .,सामान्य हमेशा वाला रिश्तेदार हो।
Why all of a sudden?,<unk> <unk> <unk> <unk> <unk> ?,यूँ अचानक क्यों दे रहे हैं?
Possibly even to life.,<unk> के में <unk> <unk> .,संभवतः जीवन को भी .
"Avert your eyes, Templeton!","<unk> , , <unk> <unk> ! !","वहाँ मत देखो, टेम्पलटन!"
Get off of me!,मुझसे दूर <unk> <unk> !,मुझसे दूर हटो!
It's just a pen.,<unk> <unk> <unk> <unk> <unk> है .,यह सिर्फ एक पेन है.
You can't trust them.,<unk> उन्हें पर पर नहीं कर कर,आप उन पर भरोसा नहीं कर सकते.
I'll collect his courage.,<unk> <unk> <unk> <unk> <unk> ।,मैं उसके साहस इकट्ठा करेंगे.
"And, bang, you'd be toast.","<unk> , , , तुम तुम <unk> . .","और, धमाके, आप टोस्ट होगा."
- Do you like it?,आप आप <unk> यह है है,- तुम्हें क्या लगता है?
"- Come on, let's go.","<unk> , चलो चलो चलो","- चलो, चलो चलते हैं."
You must be hungry.,<unk> <unk> <unk> . . .,तुम्हें भूख लगी होगी।
"If you can help me,",मैं मुझे मुझे महसूस कर कर कर,"क्या आप मेरी मदद कर सकते हैं,"
- Get lost man.,<unk> <unk> <unk> <unk>,- भाग यहाँ से.
I love you so,मैं तुम्हें तुम तुम हूँ,मैं तुमसे बहुत प्यार करता हूँ
I've decided... not to stay.,<unk> <unk> . . . . . . .,मैंने तय कर लिया है ... और नहीं रहने का.
- Saru's no more.,<unk> <unk> <unk> <unk> <unk> .,- Saru के लिए कोई और अधिक।
- You picked him up?,<unk> <unk> <unk> ? ? ?,- तुम उसे उठा लिया?
We might have a problem.,<unk> एक एक एक समस्या है है,हम एक समस्या हो सकता है।
You're still an effective team?,<unk> <unk> <unk> <unk> <unk> <unk> ? ?,आपअभी एक प्रभावी टीम हैं
Keep your hands down.,अपनी नीचे <unk> नीचे .,अपने हाथ नीचे रखो.
- IT'S ONLY MUSIC.,<unk> <unk> <unk> <unk> <unk> <unk>,- यह केवल संगीत है.
You had all the beads.,अपने <unk> <unk> <unk> <unk> . .,तुम्हारे पास सारे मोती थे।
And don't miss the funeral.,<unk> <unk> <unk> नहीं नहीं । .,और अंतिम संस्कार पर ज़रूर जाना।
Face the other way!,<unk> <unk> <unk> <unk> !,मुँह दूसरी ओर करो!
From humans Koba learned hate...,<unk> <unk> <unk> <unk> के . .,कोबा ने मनुष्यों से नफ़रत करना सीखा...
"No, we aren't finished! Hey!","<unk> , <unk> <unk> <unk> नहीं ! ! !","नहीं, हम समाप्त नहीं कर रहे हैं!"
Gilly would love it here.,<unk> यहाँ यहाँ यहाँ यहाँ . .,गिली इसे यहाँ अच्छा लगेगा।
At the Best Little Chapel.,<unk> <unk> <unk> <unk> <unk>,पर उत्तम छोटे चैपल.
then I gotta earn that.,<unk> <unk> <unk> <unk> <unk> .,तो मैं इसे कमाना चाहता हूं।
"Sorry for the trouble, officer.","<unk> के के , , , .",परेशानी के लिए माफ़ करना ऑफीसर।
We're going down there.,<unk> वहाँ जा जा जा . .,"हन्ना: स्थिर, स्थिर,."
Telephone bidder now. 26 million.,<unk> <unk> <unk> <unk> <unk> .,टेलीफोन बोलीदाता. 26 लाख.
I got you suspended.,<unk> <unk> <unk> <unk> <unk> .,मैंने तुमे School से हटवा दिया .
"Can you even breathe, Ava?",<unk> <unk> <unk> <unk> <unk> <unk> ?,"तुम भी, शुक्रिया सांस ले सकते हैं?"
"- Safety first, Cooper.",<unk> <unk> <unk> <unk> <unk> <unk>,"- सुरक्षा पहले, Cooper."
You need to get in.,<unk> के के <unk> के .,आप में प्राप्त करने की आवश्यकता।
And they will be remembered.,वे <unk> <unk> <unk> . . .,और वे हमेशा याद किया जाएगा.
It is far too heavy.,<unk> हम भी <unk> है . .,यह बहुत ही भारी है.
you asked for the alien.,<unk> <unk> के लिए लिए .,आप विदेशी के लिए कहा.
I'm gonna get this door!,<unk> पर वाला वाला ! ! !,मैं इस दरवाजे से मिलने वाला हूँ!
"Stop being an arse, Vincent.","<unk> <unk> <unk> <unk> , <unk> <unk> .","बकवास बंद करो, विन्सेंट।"
This world could be ours.,<unk> <unk> <unk> <unk> जा . .,"इस दुनिया में, हमारा हो सकता है!"
"Max, if I were you.","<unk> , , तुम <unk> , . .","मैक्स, अगर मैं तुम्हें थे."
Daenerys of House Targaryen.,<unk> <unk> <unk> <unk> <unk> <unk>,Daenerys हाउस Targaryen की।
And everyone's in on it!,<unk> <unk> <unk> <unk> है है !,और सब शामिल हैं इसमें!
How does it work?,<unk> <unk> <unk> है है ?,इसे कैसे इस्तेमाल करें ?
Please follow these men.,<unk> <unk> <unk> <unk> <unk> .,-प्लीज़ इन लोगों के साथ जाइए।
This is not happening.,<unk> नहीं नहीं नहीं . .,ये नहीं हो सकता।
- And see you later.,<unk> <unk> <unk> के . .,- और आप बाद में देखते हैं।
What was Oogway thinking?,<unk> <unk> सोच सोच रहा ?,न जाने ऊगवे को क्या सूझी?
That never stopped you before!,<unk> कभी कभी कभी कभी नहीं कर,कि इससे पहले कि आप कभी नहीं बंद कर दिया!
And how are you feeling?,<unk> तुम क्या कर हो ?,और आप कैसे महसूस कर रहे हैं?
[ SARAH LAUGHS NERVOUSLY ],[ <unk> <unk> <unk> ],[सारा बलपूर्वक हंसते हुए कहते हैं]
You in a hurry?,<unk> <unk> <unk> <unk> ? ?,जल्दी में हो?
Give us that diversion.,<unk> <unk> <unk> <unk> <unk> है,हमें उस मोड़ दे.
By way of advance alone,<unk> <unk> <unk> <unk> <unk> <unk>,अकेले अग्रिम के वैसे
You have a death wish?,<unk> एक <unk> <unk> है है ?,आप एक मरने की इच्छा है?
I've brought some presents.,<unk> <unk> <unk> <unk> <unk> .,मैं कुछ उपहार लाया हूँ
Don't stop. Don't stop!,<unk> नहीं नहीं नहीं नहीं ! !,मैं उसे पा ही लूंगा तुम रुकना मत रुकना मत !
That's why you're single?,<unk> <unk> क्यों क्यों क्यों ? ?,यही कारण है कि तुम अकेले हो रहा है?
Have you seen him?,<unk> उसे क्यों <unk> ? ?,क्या आपने उसे देखा है?
Call your people to confirm.,<unk> <unk> <unk> <unk> <unk> . .,अपने लोगों पुष्टि करने के लिए कॉल करें.
So scared of horses?,<unk> <unk> <unk> <unk> ?,घोडो से इतना डर रहे हो?
- Did you touch anything?,<unk> कुछ कुछ कुछ ? ?,- तुम्हें छू कुछ क्या?
- How's it going?,<unk> <unk> हो है है ?,- सब कैसा चल रहा है?
"Look, I'm sorry about this.",<unk> <unk> <unk> के के के के,"मैं इस बारे में माफी चाहता हूँ, देखो।"
What's he doing here?,<unk> यहाँ यहाँ यहाँ कर रहा है,वह यहां क्या कर रहा है?
"Yes, sir. In the car.","<unk> , , , . .",कार में।
The Colonel's changing the rules!,<unk> <unk> <unk> <unk> <unk>,कर्नल के नियम बदल!
Kai has taken their chi.,<unk> अपने हाउस खो खो ।,काई ने उनकी ऊर्जा ले ली है।
"Name your price, Dom.","<unk> <unk> <unk> , <unk> <unk> .","डोम, अपनी कीमत नाम."
"Don't worry, little birdie.","<unk> <unk> , <unk> <unk> <unk> .","चिंता मत करो, नन्हें पंछी।"
'But I have an assignment',<unk> <unk> <unk> <unk> <unk> <unk> <unk>,'लेकिन मैं एक काम है'
"Here you are, boys.","<unk> , , , , रहे .",दोस्तो पहला काम होगा...
He was a warrior also?,<unk> एक <unk> <unk> <unk> ?,वह एक योद्धा भी था?
What's wrong with you?,<unk> तुम्हारे साथ साथ है,तुम्हें क्या हुआ?
He's just an assistant?,<unk> <unk> <unk> <unk> <unk> है ?,वह सिर्फ एक सहायक है ?
"Okay, you can go.","<unk> , तुम तुम तुम सकते सकते","ठीक है, आप जा सकते हैं।"
I swore a vow.,<unk> <unk> <unk> <unk> <unk> <unk>,मैं एक व्रत की कसम।
We don't talk anymore.,<unk> मत नहीं नहीं नहीं नहीं ।,हम अब और बात नहीं करते.
this is Jayram only speaking.,यह केवल केवल <unk> है है है,इस जयराम ही बोल रहा है।
Then he became a monster.,<unk> <unk> <unk> <unk> <unk> <unk> .,फिर वह एक राक्षस बन गया।
How is your girl friend?,<unk> आपका का है है है ?,कैसी है तुम्हारी गर्ल फ्रेंड?
I'll take my own bath.,<unk> <unk> <unk> <unk> <unk> । .,मैं अपने खुद के स्नान के लिए ले जाएगा.
It was still alive.,<unk> भी भी भी कर .,यह अभी भी जीवित था.
We can drive there.,<unk> <unk> <unk> जा सकता .,हम ड्राइव कर सकते हैं वहाँ.
There's no need for witnesses!,<unk> <unk> <unk> <unk> नहीं नहीं है है,गवाहों की कोई ज़रूरत नहीं है!
I'm playing up there.,<unk> <unk> <unk> . . .,मैं वहाँ खेल रहा हूँ.
NOW YOU MUST TELL ME.,<unk> <unk> <unk> <unk> <unk> <unk> <unk>,अब तुम मुझे बताओ चाहिए.
I know. What the fuck?,<unk> <unk> <unk> है ?,मैं जानता / जानती हूँ.
Decide and then do it.,और और और यह . .,अच्छी तरह सोच लो फिर करो .
I want my mission.,<unk> <unk> से <unk> <unk> कर,मैं अपने मिशन चाहते हैं।
Chief Executive Producer TOKUMA Yasuyoshi,<unk> <unk> <unk> <unk> <unk> <unk>,मुख्यकार्यकारीनिर्माता TOKUMA Yasuyoshi
Don't worry about it.,<unk> में में बारे में नहीं .,इसके बारे में चिंता मत करो.
It's my old stomping ground.,<unk> <unk> <unk> <unk> <unk> <unk> है,यह मेरे पुराने stomping जमीन है.
You've already delivered me that.,<unk> ने ने से से . .,"- अरे हाँ, माफ करें, मौरीन।"
Liars. You all hated him.,<unk> <unk> <unk> <unk> <unk> . .,आप सभी उसे पसंद नहीं थी.
I'm sure I will.,<unk> <unk> भी में में . .,जरूर.
That's what the man said?,<unk> क्या क्या क्या है ?,यही उसने कहा था.
"-You forgot, didn't you?","<unk> , , तुम्हें नहीं ? ?","तुम भूल गया, तुम नहीं?"
The old bag'll never know.,<unk> <unk> भी नहीं नहीं नहीं नहीं,बूढ़ी औरत को पता ही नहीं चलेगा।
- Are you sure?,आप आप है यकीन है,- पक्का?
We got a code red.,<unk> एक <unk> <unk> है .,हमें लाल को़ड मिला है।
What are you gonna do?,<unk> तुम हो हो हो ?,-तुम क्या करने वाले हो ?
They take their chances.,<unk> <unk> <unk> <unk> <unk> .,वे अपनी किस्मत आजमा सकते हैं.
That's like winning the sweepstakes.,<unk> <unk> <unk> <unk> <unk> .,छप्पर फाड़ कर मिला है.
I want it sorted.,<unk> <unk> <unk> <unk> . .,मैंइसेहल चाहते
"Engage drop, Mr. Choi.",<unk> <unk> <unk> <unk> <unk> <unk> <unk>,"बूंद व्यस्त हैं, श्री चोई."
"What do you mean, problems?","<unk> , , , , , है ?","क्या मतलब है, समस्या है?"
Carry it into the bazaar,<unk> <unk> <unk> <unk> .,बाज़ार तक ले जाओ
( breathing heavily ) PETER.,( <unk> <unk> <unk> ) ),(भारी साँस) पीटर.
© P@rM! NdeR M@nkÖÖ ™,© <unk> <unk> <unk> <unk>,©@ पीआर एम nderएम@ nkÖÖ 
"I know you busy, baby.","<unk> <unk> है , , , , ,","मैं तुम्हारे बच्चे, व्यस्त पता है."
"No. No, no, no, no.","<unk> , नहीं , नहीं , नहीं नहीं","नहीं, नहीं, नहीं, नहीं, नहीं."
"Neural handshake confirmed, sir.","<unk> <unk> <unk> , , , .","तंत्रिका हाथ मिलाना, साहब की पुष्टि की."
© P@rM! NdeR M@nkÖÖ ™,© <unk> <unk> <unk> <unk>,©@ पीआर एम nderएम@ नायक ऊ
Run and find your father.,<unk> और मेरे <unk> <unk> . .,चलाने के लिए और अपने पिता को खोजने के।
"Sergio, close the door!","<unk> , , ! ! ! !","सर्जियो, दरवाजा बंद करो!"
Don't look at me.,<unk> मुझ नहीं नहीं . .,मुझे मत देखो।
He's so damn stubborn.,<unk> <unk> <unk> <unk> है है,वह इतना जिद्दी है.
"CASE, how much time?","<unk> , , , है . ?","CASE, कितना समय लगेगा ?"
Sorry to bother you again.,<unk> <unk> के के लिए के .,फिर आपको परेशान के लिए खेद है
Shall we get started?,<unk> हम <unk> जा ? ?,शुरू करें?
She's probably quite scared.,<unk> <unk> <unk> <unk> नहीं . .,वह शायद काफ़ी डरी हुई है.
- I just want it.,<unk> इसे यह मिलता मिलता .,- मैं सिर्फ यह चाहते हैं।
"No, don't think so.","<unk> , , नहीं नहीं नहीं .","नहीं, ऐसा नहीं लगता."
You stole a police car.,<unk> एक कार कार कार कार .,तुम एक पुलिस गाड़ी चुरा लिया.
- Bella does not.,<unk> <unk> नहीं नहीं .,~ बेला नहीं करता है.
"What's wrong, Herr Minister?",<unk> <unk> <unk> <unk> <unk> <unk> ?,"क्या बात है, हेर्र मंत्री?"
I've changed my mind,<unk> <unk> <unk> <unk> <unk>,मैंने अपना इरादा बदल लिया है
You should ask him out.,<unk> उसे जाना जाना चाहिए चाहिए,आप उसे बाहर से पूछना चाहिए.
He's pushing them hard.,<unk> <unk> <unk> <unk> <unk> <unk> है,वह मुश्किल से उन्हें प्रेरित कर रहा है.
That girl is very good!,<unk> <unk> में अच्छा है है !,ये लड़की बहुत अच्छी है!
I can't break through.,<unk> <unk> तेजी नहीं नहीं नहीं नहीं,मैं के माध्यम से नहीं तोड़ सकते।
I think we lost him!,<unk> <unk> <unk> मारकर मारने ! !,लगता है वह पीछे छूट गया!
"Young and cocky, good cutter.","<unk> और <unk> , <unk> <unk> .","युवा और अहंकारी, अच्छा कटर."
Stay out of my way.,मेरे से से <unk> बाहर .,मेरे रास्ते में मत आओ।
- What is it?,<unk> यह है है ?,- यह क्या है?
That is my tooth.,<unk> मेरी <unk> <unk> है है,कि मेरे दाँत है.
What do I do?,<unk> <unk> <unk> ? ?,मैं क्या करूं?
( hatchet drops ),( <unk> <unk> <unk> ),(कुल्हाड़ीबूँदें)
we're very different people.,हम बहुत पर पर हैं हैं .,हम एक-दूसरे से बहुत अलग हैं।
SO HE CANNOT TELL.,<unk> <unk> <unk> <unk> <unk> <unk>,तो वह नहीं बता सकता.
- Let's find her.,<unk> <unk> <unk> <unk> है .,- चलो उसे ढूढते हैं.
Was act of god Jonathan.,<unk> <unk> <unk> <unk> <unk> <unk> <unk>,भगवान जोनाथन का कार्य था.
"""Every desire is incomplete.""",""" <unk> <unk> <unk> <unk> <unk> है ""","""हर इच्छा अधूरी है।"""
We don't want Hope involved.,<unk> <unk> <unk> <unk> नहीं नहीं .,हमें उम्मीद है शामिल नहीं करना चाहती।
He's about the same.,<unk> <unk> के के के .,वह उसी के बारे में है.
Restoring the ansible connection.,<unk> <unk> <unk> <unk> <unk>,Ansible कनेक्शन को बहाल करना.
This is my lucky purse.,<unk> <unk> <unk> <unk> है .,यह मेरा भाग्यशाली पर्स है।
- You are the worst.,<unk> <unk> में रहे . .,- तुम सबसे खराब कर रहे हैं.
Any sign of him?,<unk> <unk> <unk> <unk> <unk>,उसका कोई अता-पता है?
Bourbon on the rocks.,<unk> <unk> <unk> <unk> .,चट्टानों पर बोरबॉन.
man #2: [giggles] man:,पुरुष पुरुष पुरुष में में है है,पुरुष #2: [खिसीयानी हंसी] पुरुष:
(LIFE IN MONO PLAYING),( <unk> <unk> <unk> <unk> <unk> <unk>,(जीवनमोनोखेल में )
Will you marry me?,<unk> तुम पर <unk> हो ?,मुझसे शादी करोगी?
What are you gonna do?,<unk> तुम हो हो हो ?,तुम क्या करोगे ?
Every dragon has its secrets.,<unk> <unk> <unk> <unk> <unk> दिया ।,हर ड्रैगन के अपने कुछ रहस्य होते हैं।
Who was that guy anyway?,कि कि कि कि था ? ?,वैसे वह आदमी कौन था?
man speaking native language:,पुरुष अपनी अपनी मातृभाषा में बोल,पुरुष अपनी मातृभाषा में बोल रहा है:
It's not a video blog.,<unk> <unk> <unk> नहीं नहीं है है,वो वीडियो ब्लॉग नहीं है।
Tell me about your father.,मैं मेरे अपनी अपनी में <unk> .,मुझे अपने पिता के बारे में बताओ।
Her name is Beatrice.,<unk> <unk> <unk> <unk> है,आपका नाम बीट्राइस है...
"-Yeah, we can handle it.","<unk> , हम हम कर सकते सकते हैं","- हाँ, हम इसे संभाल कर सकते हैं।"
"Julio dead, you owe me.","<unk> , , मुझे मुझे . . .","जूलियो मृत, तुम मुझे देने हैं."
It was in your jacket,<unk> <unk> <unk> <unk> <unk> <unk>,यह अपने जैकेट में था
Give it to me.,<unk> मुझे <unk> <unk> . .,यह मुझे दे दो।
This is Jesus of Nazareth?,<unk> <unk> <unk> <unk> है ?,यह ... ... नासरत का यीशु है?
"Don't be crude, Frank.",<unk> <unk> <unk> <unk> <unk> <unk> .,", फ्रैंक कच्चे मत होना।"
Help me carry your master.,मैं अपनी <unk> <unk> <unk> .,मेरी मदद करो अपने स्वामी ले.
Go check it out!,<unk> <unk> से ! ! !,जाओ जाँच करो!
- I lost the signal.,<unk> <unk> <unk> <unk>,रेडियो सिग्नल टूट गया।
Is she coming to college?,<unk> <unk> <unk> <unk> <unk> ?,वह कॉलेज के लिए आ रहा है?
Give me the phone.,मुझे मुझे <unk> . .,मुझे फ़ोन दो।
The White House is big.,<unk> <unk> <unk> <unk> <unk> .,व्हाइट हाउस बहुत बड़ा है।
"- Yes, that word.","<unk> , , . . .","- हाँ, उस शब्द."
We won the war.,<unk> <unk> <unk> <unk> .,हम युद्ध जीत लिया.
"Those aren't bombs, it's artillery!",<unk> <unk> <unk> <unk> नहीं नहीं नहीं है,"वे बम नहीं हैं, ये तोप हैं!"
The sun is shining.,<unk> <unk> <unk> <unk> <unk> .,आसमान में सूरज चमक रहा था।
"Take it easy, doctor.","<unk> <unk> , , है . .","घबराओ नहीं, डॉक्टर."
- He is marooning us.,<unk> <unk> <unk> <unk> है है,- वह हमें बेवकूफ बना रहा है.
I'll get a promotion.,<unk> <unk> <unk> <unk> <unk> .,मुझे तरक्की मिलेगी।
"Time is relative, okay?","<unk> <unk> , , , ठीक है","समय सापेक्ष है , ठीक है ?"
"- Ender, stop. -...from us!",. . . . .,"- एंडर, बंद करो. -... हम से!"
Let's see what we've got.,<unk> हम <unk> है है है .,के हमें क्या मिला है देखते हैं
We just saved the world.,<unk> <unk> <unk> <unk> . .,हम सिर्फ दुनिया को बचाया।
( gas hissing ),( <unk> <unk> ) <unk>,(गैसhissing)
How did you survive?,<unk> <unk> <unk> <unk> ? ?,आप कैसे बचीं?
"""I've no peace without you.""",""" <unk> <unk> भी नहीं नहीं नहीं "" ""","""मैं तुम्हारे बिना शांति नहीं है।"""
"Therefore, I'm announcing today..",<unk> <unk> <unk> <unk> <unk> <unk> <unk> .,आज मैं घोषणा करता हूं
I'm already awesomely proud.,<unk> <unk> <unk> के <unk> <unk> ।,मुझे तो पहले से ही फ़ख्र है।
Someone placed it there.,<unk> <unk> <unk> <unk> . .,कीसी ने इसे यहाँ रखा है .
"Yeah, I will show you.","<unk> , , <unk> तुम तुम .","हां, मैं तुम्‍हें दिखाऊंगा."
How did you find out?,<unk> <unk> <unk> बाहर ? ?,तुम्हें कैसे पता चला?
# If I didn't care,<unk> <unk> <unk> <unk> नहीं नहीं नहीं,♪ अगर मुझे परवाह नहीं थी ♪
Both of us are Malaysians,हम <unk> <unk> <unk> <unk>,हम दोनों मलेशियाई हैं
[ EDDIE LAUGHING ],[ <unk> <unk> ] ],[एडी हँस]
- That's how it is.,<unk> यह यह है है .,- ऐसा ही है.
I lost many a man.,<unk> <unk> <unk> <unk>,मैं कई एक आदमी को खो दिया.
"Wait, wait, hold on.","<unk> , , , , , .","रुको, रुको, रुको।"
You don't read? .?,<unk> <unk> नहीं नहीं है ?,तुम पढ़ नहीं पाते ...
Those meetings are bullshit!,<unk> <unk> <unk> कर रहे !,उन बैठकों बकवास कर रहे हैं!
Love is his name,<unk> नाम नाम है है,लव उसका नाम है
Get away from here.,<unk> यहाँ से दूर . .,"यहाँ से चलो, भागो."
What was that old movie?,<unk> <unk> <unk> कि <unk> ?,उस पुरानी फिल्म क्या था?
We've seen it before.,<unk> पहले से की की है,हम इसे पहले देखा है.
"Okay, you know what?","<unk> , , तुम जानते ? ?","ठीक है, तुम जानते हो क्या?"
Don't worry about that,<unk> उस बारे बारे नहीं नहीं,के बारे में चिंता मत करो कि
Would he not like you?,<unk> <unk> नहीं नहीं नहीं नहीं ?,क्यों वो तुम्हें पसंद नहीं करेगा ?
"There's a problem, come here.","<unk> एक <unk> , , , है . .","एक समस्या है, यहाँ आते हैं।"
